name,zone,club,grade,title,last_played,player_key,profile_url
Steve Potter,E1,NA,1050,NA,2022-05-23,e1 steve potter,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20steve%20potter
Ian Evans,W1,NA,1049,NA,NA,w1 ian evans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20ian%20evans
Dennis Thomas,W1,NA,1048,NA,NA,w1 dennis thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20dennis%20thomas
Kevin O'Rourke,E1,NA,1045,NA,NA,e1 kevin o'rourke,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20kevin%20o%27rourke
Nestor Pento,N1,NA,1044,NA,NA,n1 nestor pento,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=n1%20nestor%20pento
Dylan Greenway,W1,NA,1043,NA,NA,w1 dylan greenway,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20dylan%20greenway
Govind Anandkumar,E1,NA,1036,NA,2022-06-07,e1 govind anandkumar,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=e1%20govind%20anandkumar
Clive Gosling,W1,NA,1035,NA,NA,w1 clive gosling,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20clive%20gosling
Bradley Parfitt,W1,NA,1032,NA,2022-03-28,w1 bradley parfitt,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20bradley%20parfitt
Nia Rathkey,G1,NA,1032,NA,NA,g1 nia rathkey,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=g1%20nia%20rathkey
Henry Lam,W1,NA,1031,NA,NA,w1 henry lam,https://www.welshchessunion.uk/Grading/xarchive/JanJune2022/playerDetailView.php?key=w1%20henry%20lam
