name,zone,club,grade,title,last_played,player_key,profile_url,name_clean
Mark Thomas,N1,NA,1704,NA,2020-03-11,n1 mark thomas,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20mark%20thomas,mark thomas
Mateusz Gibiec,G1,NA,1703,NA,2020-03-11,g1 mateusz gibiec,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20mateusz%20gibiec,mateusz gibiec
Ellison Smith,E1,NA,1699,NA,2020-03-09,e1 ellison smith,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20ellison%20smith,ellison smith
Chris Daniel,W1,NA,1698,NA,2020-03-05,w1 chris daniel,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=w1%20chris%20daniel,chris daniel
Paul Scott,G1,NA,1698,NA,2020-03-11,g1 paul scott,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20paul%20scott,paul scott
Bob Hurn,E1,NA,1697,NA,2020-03-09,e1 bob hurn,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20bob%20hurn,bob hurn
Russell Dodington,E1,NA,1692,NA,2020-02-23,e1 russell dodington,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20russell%20dodington,russell dodington
Julie van Kemenade,D1,NA,1691,NA,2020-03-02,d1 julie van kemenade,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20julie%20van%20kemenade,julie van kemenade
Matthew Francis,D1,NA,1689,NA,2020-03-02,d1 matthew francis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=d1%20matthew%20francis,matthew francis
Justin Morgans,E1,NA,1689,NA,2020-03-03,e1 justin morgans,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20justin%20morgans,justin morgans
Joseph Addis,G1,NA,1685,NA,2020-03-11,g1 joseph addis,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=g1%20joseph%20addis,joseph addis
Mark Jones,E1,NA,1685,NA,2020-03-09,e1 mark jones,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20mark%20jones,mark jones
Stephen Williams (Tre),N1,NA,1685,NA,2020-03-02,n1 stephen williams (tre),https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=n1%20stephen%20williams%20%28tre%29,stephen williams (tre)
Bill Harle,E1,NA,1684,NA,2020-03-10,e1 bill harle,https://www.welshchessunion.uk/Grading/xarchive/JanJune2020/playerDetailView.php?key=e1%20bill%20harle,bill harle
